Title;Actor;Actress
Do the Right Thing;Aiello, Danny;Dee, Ruby
Court-Martial of Jackie Robinson, The;Braugher, Andre;Dee, Ruby
Elvira Madigan;Berggren, Thommy;Degermark, Pia
Hurricane Smith;Weathers, Carl;Delaney, Cassandra
Fair Game;Ford, Peter;Delaney, Cassandra
Rape of the Sabines, The;Moore, Roger;Demongeot, Mylene
Risky Business;Cruise, Tom;DeMornay, Rebecca
I Love All of You (Je Vous Aime);Depardieu, Gérard;Deneuve, Catherine
Love Songs;Lambert, Christopher;Deneuve, Catherine
Le Choix des Armes;Montand, Yves;Deneuve, Catherine
Choice of Arms;Montand, Yves;Deneuve, Catherine
March or Die;Hackman, Gene;Deneuve, Catherine
Last Metro, The;Depardieu, Gérard;Deneuve, Catherine
Jean de Florette;Montand, Yves;Depardieu, Elizabeth
Fat Man & Little Boy;Newman, Paul;Dern, Laura
Wild at Heart;Cage, Nicolas;Dern, Laura
Family Business;Connery, Sean;DeSoto, Rosana
Stand & Deliver;Olmos, Edward James;DeSoto, Rosana
Looker;Finney, Albert;Dey, Susan
Fire & Rain;Haid, Charles;Dickinson, Angie
Best of Candid Camera, The;Allen, Woody;Dickinson, Angie
Seven Sinners;Wayne, John;Dietrich, Marlene
Judgment at Nuremberg;Tracy, Spencer;Dietrich, Marlene
Minsky's Follies;Taylor, Rip;Diller, Phyllis
Novice, The;Sharif, Omar;Dombasle, Arielle
Wings of Desire;Ganz, Bruno;Dommartin, Solveig
Until the End of the World;Hurt, William;Dommartin, Solveig
Castaway;Reed, Oliver;Donohoe, Amanda
Alfred Hitchcock Presents, Sorcerer's Apprentice;Hitchcock, Alfred;Dors, Diana
Delicatessen;Benezech, Pascal;Dougnac, Marie-Laure
Great Train Robbery, The;Connery, Sean;Down, Lesley-Anne
Hanover Street;Ford, Harrison;Down, Lesley-Anne
Hunchback;Hopkins, Anthony;Down, Lesley-Anne
My Darling Clementine;Fonda, Henry;Downs, Cathy
Wagon Master;Johnson, Ben;Dru, Joanne
She Wore a Yellow Ribbon;Wayne, John;Dru, Joanne
Fantasy Man;Hopkins, Harold;Drynan, Jeanie
Monster in the Closet;Grant, Donald;DuBarry, Denise
Double Edge;Eban, Abba;Dunaway, Faye
Network;Finch, Peter;Dunaway, Faye
Chinatown;Nicholson, Jack;Dunaway, Faye
Three Days of the Condor;Redford, Robert;Dunaway, Faye
Voyage of the Damned;Sydow, Max von;Dunaway, Faye
Barfly;Rourke, Mickey;Dunaway, Faye
Wait Until Spring, Bandini;Mantegna, Joe;Dunaway, Faye
Life with Father;Powell, William;Dunne, Irene
A Guy Named Joe;Tracy, Spencer;Dunne, Irene
Stavisky;Belmondo, Jean-Paul;Duperey, Anny
Time Bandits;Cleese, John;Duvall, Shelley
Shining, The;Nicholson, Jack;Duvall, Shelley
Flame of Barbary Coast;Wayne, John;Dvorak, Ann
Naked Truth, The;Sellers, Peter;Eaton, Shirley
Brood, The;Reed, Oliver;Eggar, Samantha
Molly Maguires, The;Connery, Sean;Eggar, Samantha
