Title;Actor;Actress
L. A. Story;Martin, Steve;
Steve Martin Live!;Martin, Steve;
Steve Martin, The Funnier Side of Eastern Canada;Martin, Steve;
Runaway Barge, The;Matheson, Tim;
Romulus & the Sabines;Moore, Roger;
Saint, The;Moore, Roger;
Strange Brew;Moranis, Rick;
Another Forty-Eight Hours;Murphy, Eddie;
Best of Eddie Murphy, Saturday Night Live, The;Murphy, Eddie;
What about Bob?;Murray, Bill;
Mummy's Revenge, The;Naschy, Paul;
Harper;Newman, Paul;
Left Handed Gun, The;Newman, Paul;
Once upon a Wheel;Newman, Paul;
Prize, The;Newman, Paul;
Secret War of Harry Frigg, The;Newman, Paul;
Two Jakes, The;Nicholson, Jack;
Exile in Concert;Pennington, J. P.;
Joe Piscopo New Jersey Special;Piscopo, Joe;
Joe Piscopo Video, The;Piscopo, Joe;
Death Valley Days, No Gun Behind His Badge;Reagan, Ronald;
Salsa: The Motion Picture;Rosa, Robby;
Hollywood's Greatest War Movies;Scott, George C.;
Out for Justice;Seagal, Steven;
Case of the Mukkinese Battle Horn, The;Sellers, Peter;
Goon Show Movie, The;Sellers, Peter;
Great McGonagall, The;Sellers, Peter;
I'm All Right Jack;Sellers, Peter;
Magic Christian, The;Sellers, Peter;
Never Let Go;Sellers, Peter;
Pink Panther, The;Sellers, Peter;
Two-Way Stretch;Sellers, Peter;
Face at the Window, The;Slaughter, Tod;
Tom Thumb;Tamblyn, Russ;
Beartooth;Taylor, Dub;
James Taylor in Concert;Taylor, James;
Gangbusters;Taylor, Kent;
El Rublo de las Dos Caras;Taylor, Robert;
Law & Jake Wade, The;Taylor, Robert;
Chuka;Taylor, Rod;
Cry of the Innocent;Taylor, Rod;
Edison the Man;Tracy, Spencer;
Keeper of the Flame;Tracy, Spencer;
Spencer Tracy Legacy, The;Tracy, Spencer;
Cheyenne, The Iron Trail;Walker, Clint;
Dawn Rider, The;Wayne, John;
Duke, The Films of John Wayne;Wayne, John;
Frontier Horizon;Wayne, John;
Hell Town;Wayne, John;
Hurricane Express;Wayne, John;
Hurricane Express, The;Wayne, John;
In Harm's Way;Wayne, John;
John Wayne Collection, Red River, The;Wayne, John;
John Wayne Collector's Limited Edition;Wayne, John;
John Wayne Four Pack;Wayne, John;
John Wayne Matinee Double Feature, No. 2;Wayne, John;
John Wayne Matinee Double Feature, No. 3;Wayne, John;
John Wayne Matinee Double Feature, No. 4;Wayne, John;
John Wayne Six Pack;Wayne, John;
John Wayne Western Greats, Rio Bravo;Wayne, John;
King of the Pecos;Wayne, John;
Lawless Frontier;Wayne, John;
Lawless Frontier, The;Wayne, John;
Lawless Nineties, The;Wayne, John;
Lucky Texan;Wayne, John;
McQ;Wayne, John;
Neath Arizona Skies;Wayne, John;
Neath the Arizona Skies;Wayne, John;
Randy Rides Alone;Wayne, John;
Range Feud;Wayne, John;
Red River;Wayne, John;
Riders of Destiny;Wayne, John;
Sagebrush Trail;Wayne, John;
Shadow of the Eagle, The;Wayne, John;
Blood & Guns;Welles, Orson;
Hot Money;Welles, Orson;
Comedy Tonight;Williams, Robin;
Robin Williams;Williams, Robin;
