;Title;Genre;Actors
119;A Most Violent Year;Action, Crime, Drama            ;Oscar Isaac, Jessica Chastain, David Oyelowo, Alessandro Nivola
120;Jessabelle;Horror, Thriller            ;Sarah Snook, Mark Webber, Joelle Carter, David Andrews
121;Inherent Vice;Comedy, Crime, Drama            ;Joaquin Phoenix, Josh Brolin, Owen Wilson, Katherine Waterston
122;Left Behind;Action, Drama, Fantasy            ;Nicolas Cage, Lea Thompson, Cassi Thomson, Chad Michael Murray
123;A Little Chaos;Drama, Romance            ;Kate Winslet, Alan Rickman, Stanley Tucci, Matthias Schoenaerts
124;The Maze Runner;Action, Mystery, Sci-Fi            ;Dylan O'Brien, Kaya Scodelario, Will Poulter, Thomas Brodie-Sangster
125;The Equalizer;Action, Crime, Thriller            ;Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour
126;Miss Julie;Drama, Romance            ;Jessica Chastain, Samantha Morton, Colin Farrell, Nora McMenamy
127;Good Kill;Drama, Thriller, War            ;Ethan Hawke, January Jones, Zoë Kravitz, Fatima El Bahraouy
128;Before I Go to Sleep;Drama, Horror, Mystery            ;Nicole Kidman, Colin Firth, Mark Strong, Anne-Marie Duff
129;Rosewater;Biography, Drama            ;Gael García Bernal, Kim Bodnia, Dimitri Leonidas, Haluk Bilginer
130;Birdman or (The Unexpected Virtue of Ignorance);Comedy, Drama            ;Michael Keaton, Zach Galifianakis, Edward Norton, Andrea Riseborough
131;Sin City: A Dame to Kill For;Action, Crime, Thriller            ;Mickey Rourke, Jessica Alba, Josh Brolin, Joseph Gordon-Levitt
132;The Expendables 3;Action, Adventure, Thriller            ;Sylvester Stallone, Jason Statham, Jet Li, Antonio Banderas
133;Teenage Mutant Ninja Turtles;Action, Adventure, Comedy            ;Megan Fox, Will Arnett, William Fichtner, Noel Fisher
134;Hercules;Action, Adventure, Fantasy            ;Dwayne Johnson, John Hurt, Ian McShane, Joseph Fiennes
135;Guardians of the Galaxy;Action, Adventure, Comedy            ;Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana
136;Stonehearst Asylum;Drama, Horror, Thriller            ;Kate Beckinsale, Jim Sturgess, David Thewlis, Brendan Gleeson
137;Maleficent;Action, Adventure, Family            ;Angelina Jolie, Elle Fanning, Sharlto Copley, Lesley Manville
138;Lost River;Drama, Fantasy, Mystery            ;Christina Hendricks, Iain De Caestecker, Matt Smith, Saoirse Ronan
139;The Captive;Crime, Drama, Mystery            ;Ryan Reynolds, Scott Speedman, Rosario Dawson, Mireille Enos
140;Grace of Monaco;Biography, Drama, Romance            ;Nicole Kidman, Tim Roth, André Penvern, Frank Langella
141;Godzilla;Action, Adventure, Sci-Fi            ;Aaron Taylor-Johnson, Elizabeth Olsen, Bryan Cranston, Ken Watanabe
142;Brick Mansions;Action, Crime            ;Paul Walker, David Belle, RZA, Goûchy Boy
143;Electric Slide;Action, Biography, Crime            ;Constance Wu, Chloë Sevigny, Patricia Arquette, Vinessa Shaw
144;A Haunted House 2;Comedy, Fantasy            ;Marlon Wayans, Jaime Pressly, Cedric the Entertainer, Essence Atkins
145;The Amazing Spider-Man 2;Action, Adventure, Sci-Fi            ;Andrew Garfield, Emma Stone, Jamie Foxx, Paul Giamatti
146;Rio 2;Animation, Adventure, Comedy            ;Jesse Eisenberg, Anne Hathaway, Jemaine Clement, Andy Garcia
147;Sabotage;Action, Drama, Thriller            ;Arnold Schwarzenegger, Sam Worthington, Terrence Howard, Olivia Williams
148;Divergent;Action, Adventure, Mystery            ;Shailene Woodley, Theo James, Kate Winslet, Jai Courtney
149;The Single Moms Club;Comedy, Drama            ;Nia Long, Wendi McLendon-Covey, Amy Smart, Zulay Henao
150;Noah;Action, Adventure, Drama            ;Russell Crowe, Jennifer Connelly, Anthony Hopkins, Emma Watson
151;Predestination;Action, Drama, Mystery            ;Ethan Hawke, Sarah Snook, Noah Taylor, Madeleine West
152;Veronica Mars;Crime, Drama, Mystery            ;Kristen Bell, Jason Dohring, Enrico Colantoni, Chris Lowell
153;Closer to the Moon;Comedy, Crime, Drama            ;Vera Farmiga, Mark Strong, Harry Lloyd, Anton Lesser
154;300: Rise of an Empire;Action, Drama            ;Sullivan Stapleton, Eva Green, Lena Headey, Hans Matheson
155;About Last Night;Comedy, Romance            ;Kevin Hart, Michael Ealy, Regina Hall, Joy Bryant
156;Aloft;Drama            ;Jennifer Connelly, Cillian Murphy, Mélanie Laurent, William Shimell
157;Winter's Tale;Drama, Fantasy, Mystery            ;Colin Farrell, Jessica Brown Findlay, Russell Crowe, Jennifer Connelly
158;The Grand Budapest Hotel;Adventure, Comedy, Crime            ;Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody
159;The Lego Movie;Animation, Action, Adventure            ;Chris Pratt, Will Ferrell, Elizabeth Banks, Will Arnett
160;Rage;Action, Crime, Thriller            ;Nicolas Cage, Rachel Nichols, Max Ryan, Michael McGrady
161;RoboCop;Action, Crime, Sci-Fi            ;Joel Kinnaman, Gary Oldman, Michael Keaton, Abbie Cornish
162;They Came Together;Comedy, Romance            ;Paul Rudd, Amy Poehler, Bill Hader, Cobie Smulders
163;Rudderless;Comedy, Drama, Music            ;Billy Crudup, Anton Yelchin, Felicity Huffman, Selena Gomez
164;I, Frankenstein;Action, Fantasy, Horror            ;Aaron Eckhart, Bill Nighy, Miranda Otto, Virginie Le Brun
165;A Most Wanted Man;Crime, Drama, Thriller            ;Philip Seymour Hoffman, Rachel McAdams, Daniel Brühl, Robin Wright
166;God Help the Girl;Drama, Music, Romance            ;Emily Browning, Olly Alexander, Hannah Murray, Pierre Boulanger
167;Young Ones;Action, Drama, Romance            ;Nicholas Hoult, Kodi Smit-McPhee, Michael Shannon, Elle Fanning
168;Ride Along;Action, Comedy, Crime            ;Ice Cube, Kevin Hart, Tika Sumpter, John Leguizamo
169;The Legend of Hercules;Action, Adventure, Fantasy            ;Kellan Lutz, Gaia Weiss, Scott Adkins, Roxanne McKee
170;The Wolf of Wall Street;Biography, Crime, Drama            ;Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey
171;The Hobbit: The Desolation of Smaug;Adventure, Fantasy            ;Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott
172;Anchorman 2: The Legend Continues;Comedy            ;Will Ferrell, Christina Applegate, Paul Rudd, Steve Carell
173;The Hunger Games: Catching Fire;Action, Adventure, Sci-Fi            ;Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Philip Seymour Hoffman
174;Oldboy;Action, Drama, Mystery            ;Josh Brolin, Elizabeth Olsen, Samuel L. Jackson, Sharlto Copley
175;Ender's Game;Action, Adventure, Fantasy            ;Harrison Ford, Asa Butterfield, Hailee Steinfeld, Abigail Breslin
176;Thor: The Dark World;Action, Adventure, Fantasy            ;Chris Hemsworth, Natalie Portman, Tom Hiddleston, Stellan Skarsgård
177;Walking with the Enemy;Action, Drama, History            ;Jonas Armstrong, Ben Kingsley, Hannah Tointon, Simon Kunz
178;Carrie;Drama, Horror            ;Chloë Grace Moretz, Julianne Moore, Gabriella Wilde, Portia Doubleday
179;The Secret Life of Walter Mitty;Comedy, Drama, Fantasy            ;Ben Stiller, Kristen Wiig, Jon Daly, Kathryn Hahn
180;Captain Phillips;Biography, Crime, Drama            ;Tom Hanks, Barkhad Abdi, Barkhad Abdirahman, Catherine Keener
181;Romeo & Juliet;Drama, Romance            ;Hailee Steinfeld, Douglas Booth, Damian Lewis, Laura Morante
182;Runner Runner;Crime, Thriller            ;Ben Affleck, Justin Timberlake, Gemma Arterton, Anthony Mackie
183;Oculus;Horror, Mystery            ;Karen Gillan, Brenton Thwaites, Katee Sackhoff, Rory Cochrane
184;Devil's Knot;Biography, Crime, Drama            ;Colin Firth, Reese Witherspoon, Alessandro Nivola, James Hamrick
185;Words and Pictures;Comedy, Drama, Romance            ;Clive Owen, Juliette Binoche, Bruce Davison, Amy Brenneman
186;The Last of Robin Hood;Biography, Drama, Romance            ;John Hudson Messerall, Brian Bascle, Daniel J. Clancy, Kelly O'Neal
187;Diana;Biography, Drama, Romance            ;Naomi Watts, Naveen Andrews, Cas Anvar, Charles Edwards
188;Rush;Biography, Drama, Sport            ;Daniel Brühl, Chris Hemsworth, Olivia Wilde, Alexandra Maria Lara
189;Locke;Drama            ;Tom Hardy, Olivia Colman, Ruth Wilson, Andrew Scott
190;Labor Day;Drama, Romance            ;Kate Winslet, Josh Brolin, Gattlin Griffith, Clark Gregg
191;Gravity;Drama, Sci-Fi, Thriller            ;Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen
192;Riddick;Action, Adventure, Sci-Fi            ;Vin Diesel, Karl Urban, Katee Sackhoff, Jordi Mollà
193;Kick-Ass 2;Action, Adventure, Comedy            ;Aaron Taylor-Johnson, Chloë Grace Moretz, Christopher Mintz-Plasse, Jim Carrey
194;The Mortal Instruments: City of Bones;Action, Fantasy, Horror            ;Lily Collins, Jamie Campbell Bower, Robert Sheehan, Jemima West
195;Paranoia;Drama, Thriller            ;Liam Hemsworth, Gary Oldman, Harrison Ford, Amber Heard
196;Elysium;Action, Drama, Sci-Fi            ;Matt Damon, Jodie Foster, Sharlto Copley, Alice Braga
197;Percy Jackson: Sea of Monsters;Adventure, Family, Fantasy            ;Logan Lerman, Alexandra Daddario, Brandon T. Jackson, Nathan Fillion
198;Snowpiercer;Action, Drama, Sci-Fi            ;Chris Evans, Jamie Bell, Tilda Swinton, Ed Harris
199;RED 2;Action, Comedy, Crime            ;Bruce Willis, Helen Mirren, John Malkovich, Anthony Hopkins
200;R.I.P.D.;Action, Comedy, Crime            ;Ryan Reynolds, Jeff Bridges, Mary-Louise Parker, Kevin Bacon
201;The Wolverine;Action, Adventure, Sci-Fi            ;Hugh Jackman, Will Yun Lee, Tao Okamoto, Rila Fukushima
202;Grown Ups 2;Comedy            ;Adam Sandler, Kevin James, Chris Rock, David Spade
203;The Frozen Ground;Crime, Drama, Thriller            ;Nicolas Cage, Vanessa Hudgens, John Cusack, Dean Norris
204;The World's End;Action, Comedy, Sci-Fi            ;Simon Pegg, Nick Frost, Martin Freeman, Rosamund Pike
205;Pacific Rim;Action, Adventure, Sci-Fi            ;Idris Elba, Charlie Hunnam, Rinko Kikuchi, Charlie Day
206;About Time;Comedy, Drama, Fantasy            ;Domhnall Gleeson, Rachel McAdams, Bill Nighy, Lydia Wilson
207;The Heat;Action, Comedy, Crime            ;Sandra Bullock, Michael McDonald, Melissa McCarthy, Demián Bichir
208;The Conjuring;Horror, Mystery, Thriller            ;Patrick Wilson, Vera Farmiga, Ron Livingston, Lili Taylor
209;Monsters University;Animation, Adventure, Comedy            ;Billy Crystal, John Goodman, Steve Buscemi, Helen Mirren
210;This Is the End;Comedy            ;James Franco, Jonah Hill, Seth Rogen, Jay Baruchel
211;World War Z;Action, Adventure, Horror            ;Brad Pitt, Mireille Enos, Daniella Kertesz, James Badge Dale
212;The Internship;Comedy            ;Vince Vaughn, Owen Wilson, Rose Byrne, Aasif Mandvi
213;Only God Forgives;Action, Crime, Drama            ;Ryan Gosling, Kristin Scott Thomas, Vithaya Pansringarm, Gordon Brown
214;Now You See Me;Crime, Mystery, Thriller            ;Jesse Eisenberg, Common, Mark Ruffalo, Woody Harrelson
215;The Hangover Part III;Comedy            ;Bradley Cooper, Zach Galifianakis, Ed Helms, Justin Bartha
216;The Last Days on Mars;Adventure, Horror, Sci-Fi            ;Liev Schreiber, Elias Koteas, Romola Garai, Olivia Williams
217;Inside Llewyn Davis;Comedy, Drama, Music            ;Oscar Isaac, Carey Mulligan, John Goodman, Garrett Hedlund
218;The Bling Ring;Biography, Crime, Drama            ;Katie Chang, Israel Broussard, Emma Watson, Claire Julien
219;The Congress;Animation, Drama, Sci-Fi            ;Robin Wright, Harvey Keitel, Jon Hamm, Kodi Smit-McPhee
220;Furious 6;Action, Adventure, Thriller            ;Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez
221;Star Trek Into Darkness;Action, Adventure, Sci-Fi            ;Chris Pine, Zachary Quinto, Zoe Saldana, Benedict Cumberbatch
222;The Purge;Horror, Thriller            ;Ethan Hawke, Lena Headey, Max Burkholder, Adelaide Kane
223;The Great Gatsby;Drama, Romance            ;Leonardo DiCaprio, Carey Mulligan, Joel Edgerton, Tobey Maguire
224;After Earth;Action, Adventure, Drama            ;Jaden Smith, David Denman, Will Smith, Sophie Okonedo
225;Epic;Animation, Adventure, Family            ;Amanda Seyfried, Josh Hutcherson, Beyoncé, Colin Farrell
226;The Colony;Action, Horror, Sci-Fi            ;Kevin Zegers, Laurence Fishburne, Bill Paxton, Charlotte Sullivan
227;The Big Wedding;Comedy, Drama, Romance            ;Robert De Niro, Diane Keaton, Katherine Heigl, Amanda Seyfried
228;Lenny Cooke;Documentary, Biography, Drama            ;Lenny Cooke
229;All Is Bright;Comedy, Drama            ;Paul Giamatti, Paul Rudd, Sally Hawkins, Amy Landecker
230;Iron Man Three;Action, Adventure, Sci-Fi            ;Robert Downey Jr., Guy Pearce, Gwyneth Paltrow, Don Cheadle
231;Pain & Gain;Action, Comedy, Crime            ;Mark Wahlberg, Dwayne Johnson, Anthony Mackie, Tony Shalhoub
232;Scary Movie 5;Comedy            ;Simon Rex, Ashley Tisdale, Charlie Sheen, Lindsay Lohan
233;Java Heat;Action, Crime, Drama            ;Kellan Lutz, Verdi Solaiman, Mickey Rourke, Ario Bayu
234;42;Biography, Drama, Sport            ;Chadwick Boseman, T.R. Knight, Harrison Ford, Nicole Beharie
235;Oblivion;Action, Adventure, Sci-Fi            ;Tom Cruise, Morgan Freeman, Andrea Riseborough, Olga Kurylenko
